LOT,ID,TYPE,CRITIQUE_ARGENT,FR_ACTUEL,VARIABLES,VARIABLES_IMPLICITES,FR_STT_VARIANTS,DIOULA,DIOULA_VARIANTES_STT,VALIDE_PAR,STATUT,NOTES_MANUS,NOTES_CLAUDE
1-ARGENT,CLIP_UI_036,TTS_OUTPUT,OUI,Entre un montant valide,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_063,TTS_OUTPUT,OUI,Le montant doit être un multiple de 100 francs,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_064,TTS_OUTPUT,OUI,Le montant doit être un multiple de 5 francs,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_065,TTS_OUTPUT,OUI,Le montant minimum est de 200 FCFA,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_066,TTS_OUTPUT,OUI,Le montant saisi est invalide,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_080,TTS_OUTPUT,OUI,Montant invalide,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_099,TTS_OUTPUT,OUI,Prix invalide,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_109,TTS_OUTPUT,OUI,Retour au choix du montant,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_111,TTS_OUTPUT,OUI,Retrait confirmé ! Ton solde a été mis à jour.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_114,TTS_OUTPUT,OUI,Saisir un autre montant,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
