"priorite","id","domaine","argent","variables","francais_actuel","FRANCAIS_IVOIRIEN","PROPOSE_DOCX","SOURCE_DOCX","ALERTE"
"1","ACCUEIL_CAISSE_CONNUE","caisse","oui","caisse","Ta caisse aujourd'hui : {caisse}.","","","",""
"1","ACCUEIL_CAISSE_ILLISIBLE","caisse","oui","","Je n'ai pas pu lire ta caisse. Ce n'est pas zéro : je n'ai pas pu demander. Ton argent est là.","","","",""
"1","ACCUEIL_CAISSE_PARTIELLE","caisse","oui","caisse","Ta caisse aujourd'hui : au moins {caisse}. Ce n'est pas tout : des ventes attendent encore sur ton téléphone.","","","",""
"1","QUEST_BENEFICE_NEGATIF","questions_caisse","oui","ventes depenses resultat","Aujourd'hui : {ventes} {devise} de ventes, {depenses} de dépenses. Tu as dépensé {resultat} {devise} de plus que tes ventes.","","","",""
"1","QUEST_BENEFICE_POSITIF","questions_caisse","oui","ventes depenses resultat","Aujourd'hui : {ventes} {devise} de ventes, {depenses} de dépenses. Il te reste {resultat} {devise}.","","","",""
"1","QUEST_BENEFICE_VIDE","questions_caisse","oui","","Pas encore de ventes ni de dépenses aujourd'hui.","","","",""
"1","QUEST_DEPENSES_AUCUNE","questions_caisse","oui","","Aucune dépense notée aujourd'hui.","","","",""
"1","QUEST_DEPENSES_JOUR","questions_caisse","oui","depenses","Aujourd'hui, tu as dépensé {depenses} {devise}.","","","",""
"1","QUEST_SOLDE_CAISSE","questions_caisse","oui","caisse","Dans ta caisse, il y a {caisse} {devise}.","","Dans ta caisse physique là, il y a {caisse} {devise}.","Solde caisse (intentionsCaisse.ts)","variables renommées montant → caisse"
"1","QUEST_SOLDE_CALCULE","questions_caisse","oui","solde","Ventes moins dépenses, il te reste {solde} {devise} aujourd'hui.","","Tes ventes moins tes dépenses sorties, il te reste {solde} {devise} aujourd'hui.","Bénéfice du jour (intentionsCaisse.ts)","variables renommées montant → solde"
"1","QUEST_SOLDE_NEGATIF","questions_caisse","oui","solde","Aujourd'hui, tes dépenses dépassent tes ventes de {solde} {devise}.","","","",""
"1","QUEST_VENTES_AUCUNE","questions_caisse","oui","","Tu n'as pas encore de vente aujourd'hui. Ça va venir !","","Tu n'as pas encore fait de vente aujourd'hui. Y'a pas problème, le marché va s'ouvrir !","Zéro vente (intentionsCaisse.ts)",""
"1","QUEST_VENTES_JOUR","questions_caisse","oui","ventes","Aujourd'hui, tu as vendu pour {ventes} {devise}.","","Aujourd'hui là, tu as vendu pour {ventes} {devise} au total.","Bilan ventes du jour (intentionsCaisse.ts)","variables renommées montant → ventes"
"1","QUEST_VENTES_JOUR_PLURIEL","questions_caisse","oui","ventes nombre","Aujourd'hui, tu as vendu pour {ventes} {devise}, en {nombre} ventes.","","","",""
"1","RESUME_BILAN_GAGNE","caisse","oui","periode ventes depenses","{periode}, tu as gagné {ventes} {devise}. Tu as dépensé {depenses} {devise}.","","","",""
"1","RESUME_BILAN_PERTE","caisse","oui","periode","Attention ! {periode}, tu as plus dépensé que gagné. Fais attention à tes dépenses.","","","",""
"1","RESUME_BILAN_SANS_DEPENSE","caisse","oui","periode ventes","{periode}, tu as gagné {ventes} {devise}. Tu n'as rien dépensé. Bravo !","","","",""
"1","RESUME_DETAIL","caisse","oui","complement ventes depenses solde heure","Résumé {complement}. Ventes : {ventes} {devise}. Dépenses : {depenses} {devise}. Solde actuel : {solde} {devise}. Heure de pointe : {heure}.","","","",""
"1","RESUME_DETAIL_PERTE","caisse","oui","complement ventes depenses solde","Attention. Tu as plus dépensé que gagné {complement}. Ventes : {ventes} {devise}. Dépenses : {depenses} {devise}. Solde actuel : {solde} {devise}.","","","",""
"1","TATA_AJOUTE_PRODUITS_D_ABORD","caisse","oui","","Ajoute d'abord des produits au panier.","","","",""
"1","TATA_AJOUT_PANIER","vente","oui","","C'est dans le panier. Tu ajoutes autre chose, ou tu encaisses ?","","C'est rentré dans le panier. Tu ajoutes encore ou bien on encaisse l'argent ?","Panier (dialoguesTata.ts)",""
"1","TATA_AMBIGUITE","vente","oui","montant quantite","{montant} {devise}, c'est le prix d'un seul, ou de tous les {quantite} ?","","{montant} {devise} là, c'est le prix d'un seul ou bien c'est pour la totalité ?","Levée d'ambiguïté (dialoguesTata.ts)","VARIABLE PERDUE par la version marché : quantité · NOMBRE DE VARIABLES DIFFÉRENT : catalogue montant,quantite | document montant"
"1","TATA_AMBIGUITE_DOROME","vente","oui","montant montantDorome","{montant} {devise}, ou {montant} dɔrɔmɛ — c'est-à-dire {montantDorome} {devise} ?","","","",""
"1","TATA_ARTICLE_AJOUTE_CATALOGUE","caisse","oui","produit","{produit} ajouté à ton catalogue et au panier","","","",""
"1","TATA_ARTICLE_IMPOSSIBLE","caisse","oui","","Impossible d'ajouter cet article","","","",""
"1","TATA_CHOISIS_OPERATEUR","caisse","oui","","Choisis l'opérateur","","","",""
"1","TATA_COMPRIS","vente","oui","quantite montant suite","J'ai compris : {quantite} pour {montant} {devise}. {suite}","","","",""
"1","TATA_COMPTE_A_CHANGE","caisse","oui","suite","Le compte a changé. {suite}","","","",""
"1","TATA_COMPTE_JUSTE","caisse","oui","","Compte juste.","","L'argent est tombé pile, y'a pas de monnaie.","Rendu exact (POSCaisse.tsx)",""
"1","TATA_CONFIRMATION_TOTAL","vente","oui","quantite total","J'ai compris : {quantite} pour {total} {devise}. C'est bon ?","","","",""
"1","TATA_CONFIRMATION_UNITAIRE","vente","oui","quantite prixUnitaire total","J'ai compris : {quantite} à {prixUnitaire} {devise}. Total : {total} {devise}. C'est bon ?","","","",""
"1","TATA_CONFIRME_VENTE","vente","oui","quantite produit montant","Vente de {quantite}{produit}{montant}, c'est bien ça ?","","","",""
"1","TATA_CORRECTION_RECUE","vente","oui","resume","D'accord : {resume}. C'est bon ?","","","",""
"1","TATA_DOIT","caisse","oui","total","Elle doit {total} {devise}.","","","",""
"1","TATA_DOIT_DONNE_RENDS","caisse","oui","total recu monnaie","Elle doit {total} {devise}. Elle t'a donné {recu}. Tu rends {monnaie}.","","","",""
"1","TATA_DONNE_RENDS","caisse","oui","recu monnaie","Elle t'a donné {recu} {devise}. Tu rends {monnaie} {devise}.","","","",""
