index,file,language,language_code,variety,rows,filled,partial,blank,critical_filled,integrity,warnings
1,01-dioula.csv,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),168,110,0,58,0,PASS,
2,02-baoule.csv,Baoule,bci,Baoulé central; variété locale de marché à confirmer,168,109,0,59,0,PASS,
3,03-agni.csv,Agni,any,NON_SPECIFIEE — aucune variété sélectionnée,168,0,0,168,0,PASS,
4,04-bete.csv,Bete,btg/bev — à sélectionner,"Variété non sélectionnée: Gagnoa, Daloa ou autre à confirmer",168,0,0,168,0,PASS,
5,05-adioukrou.csv,Adioukrou,adj,Variété locale de marché à confirmer,168,0,0,168,0,PASS,
6,06-ebrie.csv,Ebrie,ebr,"Atchan/Tchaman, aire Abidjan–lagune; sous-variété à confirmer",168,0,0,168,0,PASS,
7,07-attie-akye.csv,Attie Akye,ati,NON_PRECISÉE — Bodin / Kétin / Naindin,168,0,0,168,0,PASS,
8,08-aboure.csv,Aboure,abu,Variété locale de marché à confirmer,168,0,0,168,0,PASS,
9,09-senoufo.csv,Senoufo,sef,Cebaara — parler de Korhogo (numéraux attestés uniquement),168,46,0,122,0,PASS,
10,10-we-guere.csv,We Guere,gxx,Wè Southern (Central Guéré),168,0,0,168,0,PASS,
11,11-dan-yacouba.csv,Dan Yacouba,dnj,Variété non sélectionnée: Gweetaawu (Est) ou Blowo (Ouest),168,0,0,168,0,PASS,
12,12-abron.csv,Abron,abr,"Abron/Bron de Côte d’Ivoire, aire Tanda–Bondoukou; sous-parler à confirmer",168,0,0,168,0,PASS,
13,13-koulango.csv,Koulango,nku/kzc — à sélectionner,Variété non sélectionnée: Bouna ou Bondoukou/Goutougo,168,0,0,168,0,PASS,
14,14-lobi.csv,Lobi,lob,"Lobiri, parler de Bouna; variation urbaine/rurale à confirmer",168,0,0,168,0,PASS,
15,15-dida.csv,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",168,0,0,168,0,PASS,
16,16-gouro.csv,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,168,39,0,129,0,PASS,
17,17-avikam.csv,Avikam,avi,Localité ou communauté Avikam à confirmer,168,0,0,168,0,PASS,
18,18-abidji.csv,Abidji,abi,Variété non sélectionnée: Enyembe ou Ogbru,168,0,0,168,0,PASS,
19,19-alladian.csv,Alladian,ald,Alladian de la sous-préfecture de Jacqueville (variété locale à confirmer nativement),168,17,0,151,0,PASS,
