PROVISIONAL_KEY,CLAUDE_ID,LANGUAGE,LANGUAGE_CODE,LANGUAGE_VARIETY,CATEGORY,CONTEXT,MONEY_CRITICALITY,FR_SOURCE,FR_MARCHE,TTS_CANONICAL,STT_VARIANTS,STATUS,VALIDATION_NATIVE_REQUISE,VALIDATOR_1,VALIDATOR_2,FIELD_TEST_STATUS,RISK_NOTE
PROVISIONAL_FRM_INTENT_01,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Commande orale d’encaissement; elle ne vaut pas confirmation métier du paiement.,CRITICAL,Encaisse.,Encaisse ça.,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_02,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Demande du montant encore dû par une cliente.,CRITICAL,Combien elle doit ?,Elle doit combien ?,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_03,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Accord oral avant une validation; la confirmation métier reste distincte.,CRITICAL,"Oui, valide.","Oui, tu peux valider.",,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_04,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Refus ou demande d’annulation avant confirmation métier.,CRITICAL,Non / annule.,"Non, annule.",,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_05,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Annonce d’un montant manquant dans le paiement.,CRITICAL,Il manque {montant} francs.,Il manque {montant} francs.,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_06,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Demande de vérifier le calcul ou le compte avant la suite.,CRITICAL,Compte juste.,Vérifie bien le compte.,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_07,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Annonce du montant effectivement remis par la cliente.,CRITICAL,Elle a donné {recu} francs.,Elle a donné {recu} francs.,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_08,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Annonce de la monnaie à rendre à la cliente.,CRITICAL,Tu rends {monnaie} francs.,Tu lui rends {monnaie} francs.,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_09,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Annonce du total dû par la cliente.,CRITICAL,Elle doit {total} francs.,Elle doit {total} francs.,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_10,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Demande orale de validation avant l’action métier.,CRITICAL,Je valide ?,Je valide ça ?,,,DRAFT,true,,,NON_TESTE,
