participant_id,date,moderateur,observateur,plateforme,commit,version_app,telephone,android,mode_acces,langue,scenario,resultat,niveau_aide,premiere_action_correcte,temps_secondes,retours_arriere,mauvais_appuis,lecture_indispensable,audio_compris_premier_passage,resultat_visuel_compris,vibration_percue,montant_exact,etat_reel_compris,verbatim,incident_id,severite,notes
P01,,,,APK,,,,,Auto,français,S00,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S01,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S02,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S03,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S04,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S05,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S06,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S07,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S08,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S09,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S10,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S11,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S12,,,,,,,,,,,,,,,,
P01,,,,APK,,,,,Auto,français,S13,,,,,,,,,,,,,,,,
