"fichier","texte_a_enregistrer","origine"
"login-02.wav","Eh, ma fille ! Te voilà. On continue, non ?","docx 02 · Retour (AUTH_02)"
"login-03.wav","Chaque vente, tu mets ça ici. Comme ça là, tu n'oublies rien et tout ton point est là.","docx 03 · Présenter son aide (AUTH_03)"
"login-04.wav","Bon, pour commencer là, appuie ici.","docx 04 · Commencer (AUTH_04)"
"login-05.wav","Mets ton numéro de téléphone ici.","docx 05 · Demander le numéro (AUTH_05)"
"login-06.wav","Tu peux me dicter aussi, hein. Appuie sur le micro d'abord.","docx 06 · Proposer la voix (AUTH_06)"
"login-07.wav","Dis les chiffres doucement doucement, un à un.","docx 07 · Expliquer la dictée (AUTH_07)"
"login-08.wav","Tu veux réécouter ça ? Appuie ici.","docx 08 · Écouter le numéro (AUTH_08)"
"login-09.wav","C'est bien ton numéro, non ? Appuie ici pour avancer.","docx 09 · Confirmer (AUTH_09)"
"login-10.wav","Tu t'es trompée ? Y'a pas problème, c'est rien. Appuie ici pour effacer.","docx 10 · Corriger (AUTH_10)"
"login-11.wav","Il manque encore des chiffres dedans. Continue.","docx 11 · Numéro incomplet (AUTH_11)"
"login-12.wav","Regarde bien, y'a un chiffre qui n'est pas bon dedans.","docx 12 · Numéro invalide (AUTH_12)"
"login-13.wav","Je n'ai pas bien entendu, deh. Redis-moi ça doucement.","docx 13 · Dictée mal comprise (AUTH_13)"
"login-14.wav","Si tu veux, tape ton numéro directement ici.","docx 14 · Proposer le clavier (AUTH_14)"
"login-15.wav","Pour que je puisse bien t'entendre, appuie sur ""Autoriser"".","docx 15 · Autorisation micro (AUTH_15)"
"login-16.wav","Le micro ne prend pas là. Faut taper ton numéro ici.","docx 16 · Micro indisponible (AUTH_16)"
"login-17.wav","C'est bon maintenant. Appuie sur le micro et puis parle.","docx 17 · Micro disponible (AUTH_17)"
"login-18.wav","Attends un peu, je vérifie ça pour toi.","docx 18 · Vérification (AUTH_18)"
"login-19.wav","Bon, mets les quatre chiffres de ton code secret.","docx 19 · Code en chiffres (AUTH_19)"
"login-20.wav","Appuie sur tes quatre photos, une à une, comme tu avais choisi là.","docx 20 · Code en images (AUTH_20)"
"login-21.wav","Voilà les photos qui sont sorties à la place des chiffres. Ton code n'a pas changé.","docx 21 · Passage aux images (AUTH_21)"
"login-22.wav","Voilà les chiffres maintenant. Mets ton code comme d'habitude.","docx 22 · Retour aux chiffres (AUTH_22)"
"login-23.wav","Ton code là, c'est pour toi seule. Faut jamais montrer ou dire ça à quelqu'un.","docx 23 · Discrétion (AUTH_23)"
"login-24.wav","C'est effacé net.","docx 24 · Effacement (AUTH_24)"
"login-25.wav","Appuie ici. Ton propre téléphone va te guider.","docx 25 · Entrer avec téléphone (AUTH_25)"
"login-26.wav","Ça n'a pas pris. On passe par ton code directement.","docx 26 · Reconnaissance échouée (AUTH_26)"
"login-27.wav","Ce n'est pas toi ? Y'a pas problème, appuie ici pour taper ton numéro.","docx 27 · Autre personne (AUTH_27)"
"login-28.wav","Le numéro ou le code n'est pas bon, deh. Regarde bien avant de reprendre.","docx 28 · Erreur identifiant (AUTH_28)"
"login-29.wav","Attention, hein ! Il te reste une seule chance. Prends bien ton temps.","docx 29 · Dernier essai (AUTH_29)"
"login-30.wav","Tu as trop forcé. Patiente un peu d'abord avant de réessayer.","docx 30 · Trop de tentatives (AUTH_30)"
"login-31.wav","Ma fille, là c'est bloqué net. Faut aller voir ton agent pour te débloquer.","docx 31 · Accès bloqué (AUTH_31)"
"login-32.wav","Eh, le réseau ne passe pas là ! Réessaie dans un petit moment.","docx 32 · Connexion impossible (AUTH_32)"
"login-33.wav","Ça pèse un peu. Patiente, je suis en train de relancer.","docx 33 · Tentative auto (AUTH_33)"
"login-34.wav","Maintenant là, choisis ton propre code secret. C'est pour toi seule, hein.","docx 34 · Nouveau code (AUTH_34)"
"login-35.wav","D'accord, c'est calé comme ça.","docx 35 · Choix enregistré (AUTH_35)"
"login-36.wav","D'accord, on continue comme d'habitude.","docx 36 · Choix conservé (AUTH_36)"
"login-37.wav","Voilà, ma fille. Allons-y !","docx 37 · Fin de l'accueil (AUTH_37)"
"core-wait-01.wav","Je regarde ça un coup...","docx CORE_WAIT_01 · Attente"
"core-wait-02.wav","Attends deux minutes...","docx CORE_WAIT_02 · Attente"
"core-wait-03.wav","Je vérifie ça tout de suite...","docx CORE_WAIT_03 · Attente"
"core-wait-04.wav","Je gère ça pour toi...","docx CORE_WAIT_04 · Attente"
"core-wait-05.wav","Je fais le point...","docx CORE_WAIT_05 · Calcul"
"core-wait-06.wav","J'enregistre ta vente là tout de suite...","docx CORE_WAIT_06 · Vente"
"core-wait-07.wav","Laisse-moi relancer encore...","docx CORE_WAIT_07 · Réessai"
"core-ack-01.wav","C'est fait net !","docx CORE_ACK_01 · Accusé"
"core-ack-02.wav","C'est bien reçu !","docx CORE_ACK_02 · Accusé"
"core-ack-03.wav","J'ai calé ça !","docx CORE_ACK_03 · Accusé"
"core-ack-04.wav","C'est noté deh !","docx CORE_ACK_04 · Accusé"
"core-ack-05.wav","C'est bien enregistré !","docx CORE_ACK_05 · Accusé"
"core-ack-06.wav","C'est calé, ta vente est bien entrée dans la machine.","docx CORE_ACK_06 · Vente validée"
"core-ack-07.wav","D'accord, j'annule ça. Y'a pas de souci.","docx CORE_ACK_07 · Annulation"
"core-err-01.wav","Je n'ai pas bien capté. Faut me redire ça autrement, s'il te plaît.","docx CORE_ERR_01 · Non compris"
"core-err-02.wav","Je n'ai rien entendu, deh. Réessaie en haussant un peu la voix.","docx CORE_ERR_02 · Silence"
"core-err-03.wav","Dis oui pour confirmer, ou bien dis non pour laisser tomber.","docx CORE_ERR_03 · Choix oui/non"
"core-err-04.wav","Appuie sur Oui ou sur Non sur l'écran.","docx CORE_ERR_04 · Choix écran"
"core-sys-01.wav","Je chauffe ma voix un coup, patiente deux minutes.","docx CORE_SYS_01 · Moteur vocal"
"core-sys-02.wav","La voix n'est pas sortie. Regarde ton réseau et puis réessaie.","docx CORE_SYS_02 · Erreur réseau"
"chiffre-0.wav","Zéro","loginVoiceScript NUM_0"
"chiffre-1.wav","Un","loginVoiceScript NUM_1"
"chiffre-2.wav","Deux","loginVoiceScript NUM_2"
"chiffre-3.wav","Trois","loginVoiceScript NUM_3"
