id,name,parent_id/id
julaba.cat_root,JULABA,
julaba.cat_fam_bananes,Bananes,julaba.cat_root
julaba.cat_sub_bananes_banane_dessert,Banane dessert,julaba.cat_fam_bananes
julaba.cat_sub_bananes_plantain,Plantain,julaba.cat_fam_bananes
julaba.cat_fam_champignons,Champignons,julaba.cat_root
julaba.cat_sub_champignons_champignons,Champignons,julaba.cat_fam_champignons
julaba.cat_fam_condiments_frais,Condiments frais,julaba.cat_root
julaba.cat_sub_condiments_frais_aromates,Aromates,julaba.cat_fam_condiments_frais
julaba.cat_sub_condiments_frais_oignons_et_alliacees,Oignons et alliacées,julaba.cat_fam_condiments_frais
julaba.cat_sub_condiments_frais_piments,Piments,julaba.cat_fam_condiments_frais
julaba.cat_fam_cereales,Céréales,julaba.cat_root
julaba.cat_sub_cereales_mais_et_cereales_locales,Maïs et céréales locales,julaba.cat_fam_cereales
julaba.cat_sub_cereales_riz,Riz,julaba.cat_fam_cereales
julaba.cat_fam_fruits,Fruits,julaba.cat_root
julaba.cat_sub_fruits_agrumes,Agrumes,julaba.cat_fam_fruits
julaba.cat_sub_fruits_fruits_importes_complementaires,Fruits importés / complémentaires,julaba.cat_fam_fruits
julaba.cat_sub_fruits_fruits_tropicaux,Fruits tropicaux,julaba.cat_fam_fruits
julaba.cat_fam_huiles_alimentaires,Huiles alimentaires,julaba.cat_root
julaba.cat_sub_huiles_alimentaires_huiles,Huiles,julaba.cat_fam_huiles_alimentaires
julaba.cat_fam_legumes,Légumes,julaba.cat_root
julaba.cat_sub_legumes_courges,Courges,julaba.cat_fam_legumes
julaba.cat_sub_legumes_legumes_verts_et_divers,Légumes verts et divers,julaba.cat_fam_legumes
julaba.cat_fam_legumes_feuilles,Légumes feuilles,julaba.cat_root
julaba.cat_sub_legumes_feuilles_feuilles_locales,Feuilles locales,julaba.cat_fam_legumes_feuilles
julaba.cat_fam_legumes_fruits,Légumes fruits,julaba.cat_root
julaba.cat_sub_legumes_fruits_aubergines,Aubergines,julaba.cat_fam_legumes_fruits
julaba.cat_sub_legumes_fruits_gombo,Gombo,julaba.cat_fam_legumes_fruits
julaba.cat_sub_legumes_fruits_tomates,Tomates,julaba.cat_fam_legumes_fruits
julaba.cat_fam_legumineuses,Légumineuses,julaba.cat_root
julaba.cat_sub_legumineuses_arachides_et_graines,Arachides et graines,julaba.cat_fam_legumineuses
julaba.cat_sub_legumineuses_haricots_et_pois,Haricots et pois,julaba.cat_fam_legumineuses
julaba.cat_fam_noix_et_graines,Noix et graines,julaba.cat_root
julaba.cat_sub_noix_et_graines_noix,Noix,julaba.cat_fam_noix_et_graines
julaba.cat_fam_palmier_et_coco,Palmier et coco,julaba.cat_root
julaba.cat_sub_palmier_et_coco_palmier_coco,Palmier / coco,julaba.cat_fam_palmier_et_coco
julaba.cat_fam_produits_complementaires,Produits complémentaires,julaba.cat_root
julaba.cat_sub_produits_complementaires_canne_et_miel,Canne et miel,julaba.cat_fam_produits_complementaires
julaba.cat_fam_produits_seches,Produits séchés,julaba.cat_root
julaba.cat_sub_produits_seches_produits_vivriers_seches,Produits vivriers séchés,julaba.cat_fam_produits_seches
julaba.cat_fam_produits_transformes,Produits transformés,julaba.cat_root
julaba.cat_sub_produits_transformes_arachide_transformee,Arachide transformée,julaba.cat_fam_produits_transformes
julaba.cat_sub_produits_transformes_farines_et_semoules,Farines et semoules,julaba.cat_fam_produits_transformes
julaba.cat_fam_produits_transformes_du_manioc,Produits transformés du manioc,julaba.cat_root
julaba.cat_sub_produits_transformes_du_manioc_attieke_et_derives,Attiéké et dérivés,julaba.cat_fam_produits_transformes_du_manioc
julaba.cat_fam_tubercules_et_racines,Tubercules et racines,julaba.cat_root
julaba.cat_sub_tubercules_et_racines_ignames,Ignames,julaba.cat_fam_tubercules_et_racines
julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,Manioc et autres racines,julaba.cat_fam_tubercules_et_racines
julaba.cat_fam_epices_et_condiments_secs,Épices et condiments secs,julaba.cat_root
julaba.cat_sub_epices_et_condiments_secs_epices,Épices,julaba.cat_fam_epices_et_condiments_secs
