id,default_code,name,categ_id/id,type,is_storable,sale_ok,purchase_ok,active,list_price,standard_price
julaba.prod_viv_tub_001,VIV-TUB-001,Igname Kponan,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_002,VIV-TUB-002,Igname Bêtê-Bêtê,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_003,VIV-TUB-003,Igname Florido,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_004,VIV-TUB-004,Igname Krenglè,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_005,VIV-TUB-005,Igname Lokpa,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_006,VIV-TUB-006,Igname Assawa,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_007,VIV-TUB-007,Igname C18,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_008,VIV-TUB-008,Igname Cameroun,julaba.cat_sub_tubercules_et_racines_ignames,consu,1,1,1,1,0,0
julaba.prod_viv_tub_009,VIV-TUB-009,Manioc frais doux,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_tub_010,VIV-TUB-010,Manioc frais amer,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_tub_011,VIV-TUB-011,Patate douce blanche,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_tub_012,VIV-TUB-012,Patate douce orange,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_tub_013,VIV-TUB-013,Taro,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_tub_014,VIV-TUB-014,Macabo,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_tub_015,VIV-TUB-015,Pomme de terre blanche,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_tub_016,VIV-TUB-016,Pomme de terre rouge,julaba.cat_sub_tubercules_et_racines_manioc_et_autres_racines,consu,1,1,1,1,0,0
julaba.prod_viv_ban_001,VIV-BAN-001,Banane plantain verte,julaba.cat_sub_bananes_plantain,consu,1,1,1,1,0,0
julaba.prod_viv_ban_002,VIV-BAN-002,Banane plantain mûre,julaba.cat_sub_bananes_plantain,consu,1,1,1,1,0,0
julaba.prod_viv_ban_003,VIV-BAN-003,Plantain Corne 1,julaba.cat_sub_bananes_plantain,consu,1,1,1,1,0,0
