code_produit,nom_canonique,famille,sous_famille,unites_locales_autorisees,gros,demi_gros,detail,source_de_verite,usage_local
VIV-TUB-001,Igname Kponan,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-002,Igname Bêtê-Bêtê,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-003,Igname Florido,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-004,Igname Krenglè,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-005,Igname Lokpa,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-006,Igname Assawa,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-007,Igname C18,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-008,Igname Cameroun,Tubercules et racines,Ignames,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-009,Manioc frais doux,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-010,Manioc frais amer,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-011,Patate douce blanche,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-012,Patate douce orange,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-013,Taro,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-014,Macabo,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-015,Pomme de terre blanche,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TUB-016,Pomme de terre rouge,Tubercules et racines,Manioc et autres racines,"kg, sac, tas, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-001,Banane plantain verte,Bananes,Plantain,"kg, régime, main, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-002,Banane plantain mûre,Bananes,Plantain,"kg, régime, main, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-003,Plantain Corne 1,Bananes,Plantain,"kg, régime, main, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-004,Plantain Corne 2,Bananes,Plantain,"kg, régime, main, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-005,Plantain Agnrin,Bananes,Plantain,"kg, régime, main, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-006,Banane douce locale,Bananes,Banane dessert,"kg, régime, main, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-007,Banane dessert Cavendish,Bananes,Banane dessert,"kg, régime, main, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-BAN-008,Banane petite douce,Bananes,Banane dessert,"kg, régime, main, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-001,Riz local blanc,Céréales,Riz,"kg, sac, demi-sac, quart-sac",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-002,Riz local étuvé,Céréales,Riz,"kg, sac, demi-sac, quart-sac",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-003,Riz importé long grain,Céréales,Riz,"kg, sac, demi-sac, quart-sac",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-004,Riz importé brisé,Céréales,Riz,"kg, sac, demi-sac, quart-sac",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-005,Riz parfumé,Céréales,Riz,"kg, sac, demi-sac, quart-sac",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-006,Riz paddy,Céréales,Riz,"kg, sac, demi-sac, quart-sac",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-007,Maïs blanc sec,Céréales,Maïs et céréales locales,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-008,Maïs jaune sec,Céréales,Maïs et céréales locales,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-009,Maïs frais en épi,Céréales,Maïs et céréales locales,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-010,Mil,Céréales,Maïs et céréales locales,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-011,Sorgho,Céréales,Maïs et céréales locales,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CER-012,Fonio,Céréales,Maïs et céréales locales,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-001,Niébé blanc,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-002,Niébé rouge,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-003,Haricot blanc,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-004,Haricot rouge,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-005,Haricot noir,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-006,Haricot moucheté,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-007,Pois de terre,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-008,Soja,Légumineuses,Haricots et pois,"kg, sac, demi-sac, quart-sac, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-009,Arachide en coque,Légumineuses,Arachides et graines,"kg, sac, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-010,Arachide décortiquée,Légumineuses,Arachides et graines,"kg, sac, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-011,Arachide grillée,Légumineuses,Arachides et graines,"kg, sac, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-012,Sésame blanc,Légumineuses,Arachides et graines,"kg, sac, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-013,Sésame noir,Légumineuses,Arachides et graines,"kg, sac, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-014,Graines de courge,Légumineuses,Arachides et graines,"kg, sac, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-015,Graines de melon,Légumineuses,Arachides et graines,"kg, sac, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TOM-001,Tomate locale ronde,Légumes fruits,Tomates,"kg, caisse, panier, demi-panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TOM-002,Tomate allongée,Légumes fruits,Tomates,"kg, caisse, panier, demi-panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TOM-003,Tomate salade,Légumes fruits,Tomates,"kg, caisse, panier, demi-panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TOM-004,Tomate cerise,Légumes fruits,Tomates,"kg, caisse, panier, demi-panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TOM-005,Tomate mûre transformation,Légumes fruits,Tomates,"kg, caisse, panier, demi-panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-001,Oignon violet,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-002,Oignon blanc,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-003,Oignon jaune,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-004,Échalote,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-005,Ail local,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-006,Ail importé,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-007,Poireau,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-OIG-008,Ciboulette,Condiments frais,Oignons et alliacées,"kg, sac, filet, botte, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AUB-001,Aubergine N'Drowa,Légumes fruits,Aubergines,"kg, panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AUB-002,Aubergine africaine blanche,Légumes fruits,Aubergines,"kg, panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AUB-003,Aubergine africaine verte,Légumes fruits,Aubergines,"kg, panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AUB-004,Aubergine violette,Légumes fruits,Aubergines,"kg, panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AUB-005,Aubergine longue,Légumes fruits,Aubergines,"kg, panier, bassine, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PIM-001,Piment frais rouge,Condiments frais,Piments,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PIM-002,Piment frais vert,Condiments frais,Piments,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PIM-003,Piment antillais,Condiments frais,Piments,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PIM-004,Piment bec d'oiseau,Condiments frais,Piments,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PIM-005,Piment sec,Condiments frais,Piments,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-GOM-001,Gombo frais petit,Légumes fruits,Gombo,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-GOM-002,Gombo frais gros,Légumes fruits,Gombo,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-GOM-003,Gombo sec,Légumes fruits,Gombo,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
